timestamp,__name__,application,instance,job,value
2024-12-02 23:35:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0002928992844888908
2024-12-02 23:36:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00029277677861893014
2024-12-02 23:37:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0003761755485893417
2024-12-02 23:38:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0003341827143990977
2024-12-02 23:39:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00020886419649943606
2024-12-02 23:40:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0011272545090180361
2024-12-02 23:41:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00041891835281303676
2024-12-02 23:42:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0008357011532675915
2024-12-02 23:43:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0006683654287981954
2024-12-02 23:44:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0003344201989800184
2024-12-02 23:45:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0002926299067764726
2024-12-02 23:46:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00037655328228944395
2024-12-02 23:47:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0002926299067764726
2024-12-02 23:48:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0003337365983897209
2024-12-02 23:49:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00045971247074557005
2024-12-02 23:50:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00025074177775920433
2024-12-02 23:51:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0010022550739163117
2024-12-02 23:52:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00033439224209998327
2024-12-02 23:53:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0003757515030060121
2024-12-02 23:54:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0002504800868330968
2024-12-02 23:55:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00025086758372705605
2024-12-02 23:56:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.000376081233546446
2024-12-02 23:57:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0003758927452700163
2024-12-02 23:58:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,8.345155637152634e-05
2024-12-02 23:59:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00025063703579932326
2024-12-03 00:00:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00025093053406382
2024-12-03 00:01:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.000333889816360601
2024-12-03 00:02:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0002922267679719462
2024-12-03 00:03:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0011288569278367754
2024-12-03 00:04:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0003762227238525207
2024-12-03 00:05:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0002507627366573327
2024-12-03 00:06:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0005858230814294083
2024-12-03 00:07:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00037600267379679143
2024-12-03 00:08:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0003341827143990977
2024-12-03 00:09:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00029244652406417115
2024-12-03 00:10:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00029215358931552587
2024-12-03 00:11:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0006684491978609626
2024-12-03 00:12:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00037666359755587176
2024-12-03 00:13:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00025086758372705605
2024-12-03 00:14:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00025041736227045074
2024-12-03 00:15:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00020878570235510272
2024-12-03 00:16:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.000292251169004676
2024-12-03 00:17:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00029254429956536275
2024-12-03 00:18:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0003763171098845961
2024-12-03 00:19:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.0001668961488713648
2024-12-03 00:20:00,process_cpu_usage,${spring.application.name},artist-service:8081,artist-service,0.00037645877776383487
