Time,Value
03/12/24 00:52:00,0.022021431000000008
03/12/24 00:53:00,0.022021431000000008
03/12/24 00:54:00,0.022021431000000008
03/12/24 00:55:00,0.007846494
03/12/24 00:56:00,0.007846494
03/12/24 01:11:00,0.221898519
03/12/24 01:12:00,0.221898519
03/12/24 01:13:00,0.119120687
03/12/24 01:14:00,0.119120687
03/12/24 01:15:00,0.016342855000000017
03/12/24 01:16:00,0.016342855000000017
03/12/24 01:17:00,0.016342855000000017
03/12/24 01:18:00,0.03540169300000001
03/12/24 01:19:00,0.03540169300000001
03/12/24 01:20:00,0.035401693000000005
02/12/24 23:49:00,0.01762640700000001
02/12/24 23:50:00,0.01762640700000001
02/12/24 23:51:00,0.01762640700000001
02/12/24 23:52:00,0.01762640700000001
02/12/24 23:53:00,0.01762640700000001
03/12/24 00:28:00,0.308082786
03/12/24 00:29:00,0.308082786
03/12/24 01:27:00,0.019437064000000004
03/12/24 01:28:00,0.019437064000000004
03/12/24 01:29:00,0.019437064
03/12/24 01:30:00,0.019437064000000004
03/12/24 01:31:00,0.019437064000000004
03/12/24 20:56:00,0.010882881000000011
03/12/24 20:57:00,0.010882881000000011
03/12/24 20:58:00,0.010882881000000011
03/12/24 20:59:00,0.010882881000000011
03/12/24 21:00:00,0.010882881000000011
02/12/24 22:41:00,0.017287306750000002
02/12/24 22:42:00,0.019515265500000004
02/12/24 22:43:00,0.016303977166666667
02/12/24 22:44:00,0.01936017507142857
02/12/24 22:45:00,0.023237619937500002
02/12/24 22:46:00,0.0230150158125
02/12/24 22:47:00,0.021568228000000002
02/12/24 22:48:00,0.0228716750625
02/12/24 22:49:00,0.016931254611111113
02/12/24 22:50:00,0.015860126947368422
02/12/24 22:51:00,0.01356514947368421
02/12/24 22:52:00,0.0157933596875
02/12/24 22:53:00,0.01602333375
02/12/24 22:54:00,0.0158878074375
02/12/24 22:55:00,0.015681993733333337
02/12/24 22:56:00,0.015798626642857142
02/12/24 22:57:00,0.016708279705882356
02/12/24 22:58:00,0.01726932623529412
02/12/24 22:59:00,0.018124062058823526
02/12/24 23:00:00,0.0203559063125
02/12/24 23:01:00,0.019421596
02/12/24 23:02:00,0.017333895411764704
02/12/24 23:03:00,0.01556641535294118
02/12/24 23:04:00,0.0172428283125
02/12/24 23:05:00,0.016167684529411766
02/12/24 23:06:00,0.015869694647058823
02/12/24 23:07:00,0.016166502176470587
02/12/24 23:08:00,0.01574707164705882
02/12/24 23:09:00,0.015620676687500001
02/12/24 23:10:00,0.01494000494117647
02/12/24 23:11:00,0.015875472705882354
02/12/24 23:12:00,0.018560156764705883
02/12/24 23:13:00,0.018515655529411767
02/12/24 23:14:00,0.016914952789473685
02/12/24 23:15:00,0.01779443494736842
02/12/24 23:16:00,0.01544743084210526
02/12/24 23:17:00,0.013993729631578949
